__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_11,DONE,txt-small-low-12, , ,"{0: '2023-10-05 13:36:02', 1: '2023-10-05 13:36:03'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.705800274522647, 1: 1.705800274522647}","{0: 1.0, 1: 1.0}","{0: 3731.478515625, 1: 3731.478515625}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2243.2278220588732, 1: 2243.2278220588732}"
run_12,DONE,txt-small-low-13, , ,"{0: '2023-10-05 13:36:05', 1: '2023-10-05 13:36:06'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7499716438577864, 1: 1.7499716438577864}","{0: 1.0, 1: 1.0}","{0: 3751.5771484375, 1: 3751.5771484375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2255.310381859648, 1: 2255.310381859648}"
run_13,DONE,txt-small-low-14, , ,"{0: '2023-10-05 13:36:09', 1: '2023-10-05 13:36:10'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7506621690809347, 1: 1.7506621690809347}","{0: 1.0, 1: 1.0}","{0: 4097.8251953125, 1: 4097.8251953125}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2463.8472282120892, 1: 2463.8472282120892}"
run_14,DONE,txt-small-low-15, , ,"{0: '2023-10-05 13:36:13', 1: '2023-10-05 13:36:14'}","{0: 0.24235, 1: 0.2475}","{0: 3.3846, 1: 3.40796}","{0: 3.3846, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.7494835809107203, 1: 1.7494835809107203}","{0: 1.0, 1: 1.0}","{0: 4240.54296875, 1: 4240.54296875}","{0: 6.79256, 1: 6.79256}","{0: 0.244925, 1: 0.244925}","{0: 2548.9121540997007, 1: 2548.9121540997007}"
run_15,DONE,txt-small-low-16, , ,"{0: '2023-10-05 13:36:17', 1: '2023-10-05 13:36:18'}","{0: 0.41071, 1: 0.25}","{0: 4.14805, 1: 3.4193}","{0: 4.14805, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7458898741546867, 1: 1.7458898741546867}","{0: 1.0, 1: 1.0}","{0: 3903.509765625, 1: 3903.509765625}","{0: 7.567349999999999, 1: 7.567349999999999}","{0: 0.330355, 1: 0.330355}","{0: 1561.4589262851644, 1: 1561.4589262851644}"
run_16,DONE,txt-small-low-17, , ,"{0: '2023-10-05 13:36:21', 1: '2023-10-05 13:36:22'}","{0: 0.23724, 1: 0.255}","{0: 3.36146, 1: 3.44197}","{0: 3.36146, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.7475914024395973, 1: 1.7475914024395973}","{0: 1.0, 1: 1.0}","{0: 3806.984375, 1: 3806.984375}","{0: 6.8034300000000005, 1: 6.8034300000000005}","{0: 0.24612, 1: 0.24612}","{0: 2273.559200808653, 1: 2273.559200808653}"
run_17,DONE,txt-small-low-18, , ,"{0: '2023-10-05 13:36:25', 1: '2023-10-05 13:36:26'}","{0: 0.33163, 1: 0.30102}","{0: 3.78946, 1: 3.65065}","{0: 3.78946, 1: 3.65065}","{0: 0.0, 1: 0.0}","{0: 1.7494144067545498, 1: 1.7494144067545498}","{0: 1.0, 1: 1.0}","{0: 3877.6875, 1: 3877.6875}","{0: 7.440110000000001, 1: 7.440110000000001}","{0: 0.31632499999999997, 1: 0.31632499999999997}","{0: 1647.6309198831761, 1: 1647.6309198831761}"
run_18,DONE,txt-small-low-19, , ,"{0: '2023-10-05 13:36:29', 1: '2023-10-05 13:36:30'}","{0: 0.23724, 1: 0.25}","{0: 3.36146, 1: 3.4193}","{0: 3.36146, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7528719983576544, 1: 1.7528719983576544}","{0: 1.0, 1: 1.0}","{0: 3577.767578125, 1: 3577.767578125}","{0: 6.78076, 1: 6.78076}","{0: 0.24362, 1: 0.24362}","{0: 2165.812281871131, 1: 2165.812281871131}"
run_19,DONE,txt-small-low-20, , ,"{0: '2023-10-05 13:36:33', 1: '2023-10-05 13:36:34'}","{0: 0.24479, 1: 0.25}","{0: 3.39568, 1: 3.4193}","{0: 3.39568, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.752377899981978, 1: 1.752377899981978}","{0: 1.0, 1: 1.0}","{0: 3771.12890625, 1: 3771.12890625}","{0: 6.81498, 1: 6.81498}","{0: 0.247395, 1: 0.247395}","{0: 2236.7419047488893, 1: 2236.7419047488893}"
run_20,DONE,txt-small-low-21, , ,"{0: '2023-10-05 13:36:37', 1: '2023-10-05 13:36:38'}","{0: 0.23724, 1: 0.2525}","{0: 3.36146, 1: 3.43064}","{0: 3.36146, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7479437154283053, 1: 1.7479437154283053}","{0: 1.0, 1: 1.0}","{0: 3755.0185546875, 1: 3755.0185546875}","{0: 6.7921, 1: 6.7921}","{0: 0.24487, 1: 0.24487}","{0: 2257.7322401245624, 1: 2257.7322401245624}"
run_21,DONE,txt-small-low-22, , ,"{0: '2023-10-05 13:36:41', 1: '2023-10-05 13:36:42'}","{0: 0.23724, 1: 0.25}","{0: 3.36146, 1: 3.4193}","{0: 3.36146, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7462856771701587, 1: 1.7462856771701587}","{0: 1.0, 1: 1.0}","{0: 4129.1337890625, 1: 4129.1337890625}","{0: 6.78076, 1: 6.78076}","{0: 0.24362, 1: 0.24362}","{0: 2499.583463307966, 1: 2499.583463307966}"
