__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_12,DONE,txt-small-low-13, , ,"{0: '2023-10-04 20:49:08', 1: '2023-10-04 20:49:09'}","{0: 0.23724, 1: 0.25255}","{0: 3.36146, 1: 3.43087}","{0: 3.36146, 1: 3.43087}","{0: 0.0, 1: 0.0}","{0: 1.7499716438577864, 1: 1.7499716438577864}","{0: 1.0, 1: 1.0}","{0: 3751.5771484375, 1: 3751.5771484375}","{0: 6.79233, 1: 6.79233}","{0: 0.244895, 1: 0.244895}","{0: 2255.3564283363394, 1: 2255.3564283363394}"
run_13,DONE,txt-small-low-14, , ,"{0: '2023-10-04 20:49:12', 1: '2023-10-04 20:49:13'}","{0: 0.2449, 1: 0.25}","{0: 3.39616, 1: 3.4193}","{0: 3.39616, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7506621690809347, 1: 1.7506621690809347}","{0: 1.0, 1: 1.0}","{0: 4097.8251953125, 1: 4097.8251953125}","{0: 6.81546, 1: 6.81546}","{0: 0.24745, 1: 0.24745}","{0: 2429.801506279054, 1: 2429.801506279054}"
run_14,DONE,txt-small-low-15, , ,"{0: '2023-10-04 20:49:16', 1: '2023-10-04 20:49:17'}","{0: 0.39541, 1: 0.2525}","{0: 4.07864, 1: 3.43064}","{0: 4.07864, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7494835809107203, 1: 1.7494835809107203}","{0: 1.0, 1: 1.0}","{0: 4240.54296875, 1: 4240.54296875}","{0: 7.50928, 1: 7.50928}","{0: 0.323955, 1: 0.323955}","{0: 1743.1649407294587, 1: 1743.1649407294587}"
run_15,DONE,txt-small-low-16, , ,"{0: '2023-10-04 20:49:20', 1: '2023-10-04 20:49:21'}","{0: 0.24235, 1: 0.2525}","{0: 3.3846, 1: 3.43064}","{0: 3.3846, 1: 3.43064}","{0: 0.0, 1: 0.0}","{0: 1.7458898741546867, 1: 1.7458898741546867}","{0: 1.0, 1: 1.0}","{0: 3903.509765625, 1: 3903.509765625}","{0: 6.815239999999999, 1: 6.815239999999999}","{0: 0.247425, 1: 0.247425}","{0: 2314.890949943989, 1: 2314.890949943989}"
run_16,DONE,txt-small-low-17, , ,"{0: '2023-10-04 20:49:24', 1: '2023-10-04 20:49:25'}","{0: 0.33594, 1: 0.27}","{0: 3.80898, 1: 3.50999}","{0: 3.80898, 1: 3.50999}","{0: 0.0, 1: 0.0}","{0: 1.7475914024395973, 1: 1.7475914024395973}","{0: 1.0, 1: 1.0}","{0: 3806.984375, 1: 3806.984375}","{0: 7.31897, 1: 7.31897}","{0: 0.30297, 1: 0.30297}","{0: 1716.846630297346, 1: 1716.846630297346}"
run_17,DONE,txt-small-low-18, , ,"{0: '2023-10-04 20:49:28', 1: '2023-10-04 20:49:29'}","{0: 0.23724, 1: 0.25}","{0: 3.36146, 1: 3.4193}","{0: 3.36146, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7494144067545498, 1: 1.7494144067545498}","{0: 1.0, 1: 1.0}","{0: 3877.6875, 1: 3877.6875}","{0: 6.78076, 1: 6.78076}","{0: 0.24362, 1: 0.24362}","{0: 2347.369701739955, 1: 2347.369701739955}"
run_18,DONE,txt-small-low-19, , ,"{0: '2023-10-04 20:49:32', 1: '2023-10-04 20:49:33'}","{0: 0.23469, 1: 0.2551}","{0: 3.3499, 1: 3.44243}","{0: 3.3499, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.7528719983576544, 1: 1.7528719983576544}","{0: 1.0, 1: 1.0}","{0: 3577.767578125, 1: 3577.767578125}","{0: 6.79233, 1: 6.79233}","{0: 0.244895, 1: 0.244895}","{0: 2150.8663655706196, 1: 2150.8663655706196}"
run_19,DONE,txt-small-low-20, , ,"{0: '2023-10-04 20:49:36', 1: '2023-10-04 20:49:37'}","{0: 0.23469, 1: 0.2551}","{0: 3.3499, 1: 3.44243}","{0: 3.3499, 1: 3.44243}","{0: 0.0, 1: 0.0}","{0: 1.752377899981978, 1: 1.752377899981978}","{0: 1.0, 1: 1.0}","{0: 3771.12890625, 1: 3771.12890625}","{0: 6.79233, 1: 6.79233}","{0: 0.244895, 1: 0.244895}","{0: 2267.110466950756, 1: 2267.110466950756}"
run_20,DONE,txt-small-low-21, , ,"{0: '2023-10-04 20:49:39', 1: '2023-10-04 20:49:40'}","{0: 0.2398, 1: 0.2475}","{0: 3.37303, 1: 3.40796}","{0: 3.37303, 1: 3.40796}","{0: 0.0, 1: 0.0}","{0: 1.7479437154283053, 1: 1.7479437154283053}","{0: 1.0, 1: 1.0}","{0: 3755.0185546875, 1: 3755.0185546875}","{0: 6.78099, 1: 6.78099}","{0: 0.24365, 1: 0.24365}","{0: 2272.7547164453244, 1: 2272.7547164453244}"
run_21,DONE,txt-small-low-22, , ,"{0: '2023-10-04 20:49:43', 1: '2023-10-04 20:49:44'}","{0: 0.245, 1: 0.25}","{0: 3.39663, 1: 3.4193}","{0: 3.39663, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7462856771701587, 1: 1.7462856771701587}","{0: 1.0, 1: 1.0}","{0: 4129.1337890625, 1: 4129.1337890625}","{0: 6.81593, 1: 6.81593}","{0: 0.2475, 1: 0.2475}","{0: 2447.7024917651693, 1: 2447.7024917651693}"
