,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
2863,lzw-jpg-large-high-32,1.2269323516599708,62.0,8891.8154296875,212.59697,0.2521353225806451,165.88215813582255
2864,lzw-jpg-large-high-33,1.2221710350261372,61.0,8527.6650390625,212.56911,0.2520364516129032,159.17198137046793
2865,lzw-jpg-large-high-34,1.2336113797945991,66.0,9796.125,230.10861,0.2533423880597015,168.04035453327091
2866,lzw-jpg-large-high-35,1.2221573202688267,60.0,8539.9638671875,209.5878,0.2536532786885245,160.6384680856007
2867,lzw-jpg-large-high-36,1.2298496894604518,64.0,9285.857421875,222.46228,0.250704923076923,166.49560154255596
2868,lzw-jpg-large-high-37,1.2281286682782524,64.0,9143.962890625,221.60953,0.2478118461538461,166.50372697428529
2869,lzw-jpg-large-high-38,1.219412599287138,60.0,8217.1796875,208.95132,0.2513521311475409,156.45703403301
2870,lzw-jpg-large-high-39,1.2312827988853556,65.0,9455.1123046875,228.17506,0.2583577272727272,160.389917034378
2871,lzw-jpg-large-high-40,1.2235503434204988,61.0,8658.4912109375,215.21961,0.261464193548387,153.867946554187
2872,lzw-jpg-large-high-41,1.2267880476516384,65.0,9018.671875,230.23452,0.2652392424242424,147.6843132481563
2873,lzw-jpg-large-high-42,1.225291307242594,62.0,8807.095703125,218.28878,0.2600566666666666,155.14340199620003
2874,lzw-jpg-large-high-43,1.230103441920395,67.0,9395.2138671875,233.19821,0.2522241176470588,159.7330729252537
2875,lzw-jpg-large-high-44,1.2333568442034113,66.0,9599.1611328125,228.12771,0.2581995454545455,162.9670362779319
2876,lzw-jpg-large-high-45,1.22318482309987,63.0,8567.0,219.83518,0.25344578125,153.76111053285308
2877,lzw-jpg-large-high-46,1.2154293791219517,58.0,7820.9599609375,204.68983,0.2610310169491525,146.37660897810386
2878,lzw-jpg-large-high-47,1.2295943394036652,65.0,9311.837890625,227.43146,0.2558731818181818,160.01477963104244
2879,lzw-jpg-large-high-48,1.2316817897099033,68.0,9527.83984375,234.53772999999995,0.2565683823529412,158.3356082965654
2880,lzw-jpg-large-high-49,1.2264263404305136,64.0,8983.2607421875,225.52009,0.2610793846153846,152.57247413662822
2881,lzw-jpg-large-high-50,1.225981126068916,63.0,8896.7802734375,221.28573,0.2584440625,155.5653595503586
2882,lzw-png-small-low-1,1.1443388262549286,21.0,2212.7626953125,75.31598000000001,0.2509159090909091,117.0899205845667
2883,lzw-png-small-low-2,1.1515464851615476,23.0,2489.26171875,82.18789999999998,0.2511458333333333,120.59705410380384
2884,lzw-png-small-low-3,1.1546318649998433,20.0,2304.208984375,71.81663999999998,0.2501190476190476,128.27736102659037
2885,lzw-png-small-low-4,1.1480070375790494,22.0,2365.654296875,77.78820999999999,0.2417947826086957,125.77391401738458
2886,lzw-png-small-low-5,1.1576426685007428,23.0,2619.748046875,82.11386,0.2504654166666666,127.37825316795367
2887,lzw-png-small-low-6,1.1477090840131243,22.0,2394.49609375,78.59688,0.2495491304347825,122.0823176518749
2888,lzw-png-small-low-7,1.1423362636490957,20.0,2158.873046875,72.56758999999998,0.2580052380952381,115.30705517395243
2889,lzw-png-small-low-8,1.147602601347261,21.0,2257.3984375,74.64984999999999,0.2442386363636363,123.81262010332348
2890,lzw-png-small-low-9,1.1513583788209067,24.0,2545.37109375,85.0195,0.2459155999999999,121.7436957857799
2891,lzw-png-small-low-10,1.1636107068908692,24.0,2918.4091796875,86.19827999999998,0.256314,132.09161634673708
2892,lzw-png-small-low-11,1.1497666037877217,22.0,2471.2978515625,78.71260000000001,0.2506586956521738,125.25586144148652
2893,lzw-png-small-low-12,1.1611173068116176,22.0,2513.5615234375,81.44484000000001,0.2768565217391305,111.4733844352454
2894,lzw-png-small-low-13,1.1570228918910532,22.0,2519.9306640625,78.86955999999998,0.2521634782608695,126.70594344488164
2895,lzw-png-small-low-14,1.1419490899012552,21.0,2156.6962890625,75.26996,0.2504545454545455,114.40325674240076
2896,lzw-png-small-low-15,1.1355125182967514,20.0,1985.7607421875,74.82494,0.2817109523809524,94.20561985234882
2897,lzw-png-small-low-16,1.161963533622652,22.0,2568.857421875,78.63233,0.2498891304347826,130.73488524355537
2898,lzw-png-small-low-17,1.1580270906523038,22.0,2430.3544921875,81.56916000000001,0.2780486956521739,107.15754923980064
