,algo-format-size-repetation,compression_ratio,compression_time,saving_size,total_power,cpu_utilization,energy_efficiency
988,huffman-flv-small-low-21,1.002942613392836,4.0,41.2265625,18.027,0.291042,7.8577462430173055
989,huffman-flv-small-low-22,1.024175546715493,1.0,133.337890625,6.88394,0.255,75.95849015614462
990,huffman-flv-small-low-23,1.0249469740096546,1.0,176.873046875,6.974629999999999,0.265,95.6961817194117
991,huffman-flv-small-low-24,1.004819750840299,4.0,71.775390625,17.143729999999998,0.252084,16.60829173780717
992,huffman-flv-small-low-25,1.000605693236223,3.0,7.599609375,13.72625,0.2527049999999999,2.1909150081087576
993,huffman-flv-small-low-26,1.0258692983173967,4.0,394.8486328125,17.14184,0.252,91.40556988152132
994,huffman-flv-small-low-27,1.0004923061739768,5.0,8.7685546875,20.56114,0.2516666666666666,1.6945528874191385
995,huffman-flv-small-low-28,1.000808715880332,7.0,18.0703125,27.37707,0.250625,2.6336272474093985
996,huffman-flv-small-low-29,1.0005496128544065,5.0,10.7275390625,21.62295,0.290695,1.7066623140357688
997,huffman-flv-small-low-30,1.000384139139193,2.0,3.37890625,11.02875,0.3066666666666666,0.9990409207161128
998,huffman-flv-small-low-31,1.0268171649335822,3.0,339.8564453125,14.4934,0.295,79.48830135248002
999,huffman-flv-small-low-32,1.0041788941674723,2.0,36.1328125,10.30513,0.2534733333333333,13.832988519604866
1000,huffman-flv-small-low-33,1.032490357920743,7.0,762.134765625,27.39974,0.25125,110.70806516749931
1001,huffman-flv-small-low-34,1.0002761805238254,5.0,4.83203125,20.54573,0.2511,0.9366157251782063
1002,huffman-flv-small-low-35,1.0006761980541383,5.0,12.583984375,20.56114,0.2516666666666666,2.4318975951980195
1003,huffman-flv-small-low-36,1.0014154924216656,3.0,16.3974609375,13.69987,0.25125,4.763806234614124
1004,huffman-flv-small-low-37,1.0317008874390856,4.0,505.2919921875,17.0965,0.25,118.22115454917676
1005,huffman-flv-small-low-38,1.0015937523825178,4.0,23.02734375,18.24711,0.30075,4.196083462462175
1006,huffman-flv-small-low-39,1.0115537503661949,3.0,149.4736328125,13.72254,0.2525,43.13886375378331
1007,huffman-flv-small-low-40,1.0079442006234451,2.0,77.509765625,10.30324,0.2533333333333333,29.695474545028144
1008,huffman-flv-small-low-41,1.024734182041123,2.0,234.41796875,10.39582,0.26014,86.68121921956865
1009,huffman-flv-small-low-42,1.007078854905079,7.0,163.9853515625,27.37707,0.250625,23.89976875336325
1010,huffman-flv-small-low-43,1.0069297688447698,4.0,97.189453125,17.0965,0.25,22.739029187260552
1011,huffman-flv-small-low-44,1.0016156822516218,6.0,31.1552734375,23.9351,0.25,5.206625155106935
1012,huffman-flv-small-low-45,1.0004479769047974,6.0,9.416015625,23.93597,0.2500271428571428,1.573363172783686
1013,huffman-flv-small-low-46,1.0020768533472768,2.0,21.58203125,10.2579,0.25,8.415769796936996
1014,huffman-flv-small-low-47,1.0007335859716922,4.0,10.6123046875,18.54751,0.3139999999999999,1.822193312541993
1015,huffman-flv-small-low-48,1.000371208481271,4.0,5.7861328125,17.91269,0.286,1.1294358139475345
1016,huffman-flv-small-low-49,1.0007154463790384,2.0,6.3876953125,10.37126,0.2583333333333333,2.3841425728407155
1017,huffman-flv-small-high-1,1.000056992873457,2.0,0.548828125,10.21793,0.24706,0.217405736225395
1018,huffman-flv-small-high-2,1.000097286987337,2.0,0.880859375,10.30324,0.2533333333333333,0.3374740839059517
1019,huffman-flv-small-high-4,0.9999146565353872,2.0,-0.7783203125,10.2579,0.25,-0.3035008383782255
1020,huffman-flv-small-high-5,1.0001415513110952,3.0,1.8173828125,13.69987,0.25125,0.5279878150566902
1021,huffman-flv-small-high-6,1.000146080068313,1.0,1.1630859375,6.8386,0.25,0.6803064589243413
