__run_id,__done,data_type,avg_cpu,total_energy,,,,,,,,,,,
run_0,DONE,txt-small-low-1, , ,"{0: '2023-10-06 17:24:41', 1: '2023-10-06 17:24:42'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7513631010219974, 1: 1.7513631010219974}","{0: 1.0, 1: 1.0}","{0: 3995.3740234375, 1: 3995.3740234375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2401.872108167593, 1: 2401.872108167593}"
run_1,DONE,txt-small-low-2, , ,"{0: '2023-10-06 17:24:45', 1: '2023-10-06 17:24:46'}","{0: 0.23469, 1: 0.25}","{0: 3.3499, 1: 3.4193}","{0: 3.3499, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7566742427025976, 1: 1.7566742427025976}","{0: 1.0, 1: 1.0}","{0: 3519.4404296875, 1: 3519.4404296875}","{0: 6.7692, 1: 6.7692}","{0: 0.242345, 1: 0.242345}","{0: 2145.3700281631413, 1: 2145.3700281631413}"
run_2,DONE,txt-small-low-3, , ,"{0: '2023-10-06 17:24:49', 1: '2023-10-06 17:24:50'}","{0: 0.2449, 1: 0.2602}","{0: 3.39616, 1: 3.46557}","{0: 3.39616, 1: 3.46557}","{0: 0.0, 1: 0.0}","{0: 1.7525687707109205, 1: 1.7525687707109205}","{0: 1.0, 1: 1.0}","{0: 4112.287109375, 1: 4112.287109375}","{0: 6.86173, 1: 6.86173}","{0: 0.25255, 1: 0.25255}","{0: 2373.025638304934, 1: 2373.025638304934}"
run_3,DONE,txt-small-low-4, , ,"{0: '2023-10-06 17:24:53', 1: '2023-10-06 17:24:54'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7476822736795405, 1: 1.7476822736795405}","{0: 1.0, 1: 1.0}","{0: 3383.83984375, 1: 3383.83984375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2034.2402216993469, 1: 2034.2402216993469}"
run_4,DONE,txt-small-low-5, , ,"{0: '2023-10-06 17:24:56', 1: '2023-10-06 17:24:58'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7465461522988877, 1: 1.7465461522988877}","{0: 2.0, 1: 2.0}","{0: 3439.65234375, 1: 3439.65234375}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2067.7926466414724, 1: 2067.7926466414724}"
run_5,DONE,txt-small-low-6, , ,"{0: '2023-10-06 17:25:00', 1: '2023-10-06 17:25:01'}","{0: 0.2398, 1: 0.255}","{0: 3.37303, 1: 3.44197}","{0: 3.37303, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.7510116420212296, 1: 1.7510116420212296}","{0: 1.0, 1: 1.0}","{0: 3041.6103515625, 1: 3041.6103515625}","{0: 6.8149999999999995, 1: 6.8149999999999995}","{0: 0.2474, 1: 0.2474}","{0: 1804.006184680175, 1: 1804.006184680175}"
run_6,DONE,txt-small-low-7, , ,"{0: '2023-10-06 17:25:03', 1: '2023-10-06 17:25:04'}","{0: 0.23469, 1: 0.25}","{0: 3.3499, 1: 3.4193}","{0: 3.3499, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.752669432128431, 1: 1.752669432128431}","{0: 1.0, 1: 1.0}","{0: 3577.6943359375, 1: 3577.6943359375}","{0: 6.7692, 1: 6.7692}","{0: 0.242345, 1: 0.242345}","{0: 2180.8802710523137, 1: 2180.8802710523137}"
run_7,DONE,txt-small-low-8, , ,"{0: '2023-10-06 17:25:07', 1: '2023-10-06 17:25:08'}","{0: 0.2449, 1: 0.25}","{0: 3.39616, 1: 3.4193}","{0: 3.39616, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7507518321507454, 1: 1.7507518321507454}","{0: 1.0, 1: 1.0}","{0: 3982.306640625, 1: 3982.306640625}","{0: 6.81546, 1: 6.81546}","{0: 0.24745, 1: 0.24745}","{0: 2361.304890439036, 1: 2361.304890439036}"
run_8,DONE,txt-small-low-9, , ,"{0: '2023-10-06 17:25:11', 1: '2023-10-06 17:25:12'}","{0: 0.2398, 1: 0.255}","{0: 3.37303, 1: 3.44197}","{0: 3.37303, 1: 3.44197}","{0: 0.0, 1: 0.0}","{0: 1.7502302386407231, 1: 1.7502302386407231}","{0: 1.0, 1: 1.0}","{0: 3937.8720703125, 1: 3937.8720703125}","{0: 6.8149999999999995, 1: 6.8149999999999995}","{0: 0.2474, 1: 0.2474}","{0: 2335.5869911718705, 1: 2335.5869911718705}"
run_9,DONE,txt-small-low-10, , ,"{0: '2023-10-06 17:25:15', 1: '2023-10-06 17:25:16'}","{0: 0.2398, 1: 0.25}","{0: 3.37303, 1: 3.4193}","{0: 3.37303, 1: 3.4193}","{0: 0.0, 1: 0.0}","{0: 1.7501178552683874, 1: 1.7501178552683874}","{0: 1.0, 1: 1.0}","{0: 3564.6259765625, 1: 3564.6259765625}","{0: 6.79233, 1: 6.79233}","{0: 0.2449, 1: 0.2449}","{0: 2142.9222042618285, 1: 2142.9222042618285}"
